timestamp_ms,event,gpu0_free_mb
184728,,566
184929,,566
185129,,566
185330,,566
185530,,566
185731,,566
185932,,566
185983,prefill_end,566
185983,reload_start,566
185983,decode_start,566
186132,,566
186333,,566
186533,,566
186734,,566
186935,,566
187135,,566
187336,,566
187536,,566
187737,,566
187938,,566
188138,,566
188339,,566
188539,,566
188740,,566
188941,,566
189141,,566
189342,,566
189542,,566
189743,,566
189822,decode_end,566
189888,cleanup_end,566
189899,evict_start,566
189899,evict_end,566
189899,prefill_start,566
189944,,566
190144,,566
190345,,566
190545,,566
190746,,566
190947,,566
191147,,566
191348,,566
191527,prefill_end,566
191527,reload_start,566
191527,decode_start,566
191548,,566
191749,,566
191950,,566
192151,,566
192351,,566
192552,,566
192752,,566
192953,,566
193154,,566
193258,decode_end,566
193324,cleanup_end,566
193335,evict_start,566
193335,evict_end,566
193335,prefill_start,566
193354,,566
193555,,566
193755,,566
193956,,566
194157,,566
194357,,566
194558,,566
194758,,566
194956,prefill_end,566
194956,reload_start,566
194956,decode_start,566
194959,,566
195159,,566
195360,,566
195561,,566
195761,,566
195962,,566
196162,,566
196363,,566
196564,,566
196764,,566
196965,,566
197165,,566
197366,,566
197567,,566
197767,,566
197968,,566
198168,,566
198369,,566
198570,,566
198770,,566
198971,,566
199171,,566
199372,,566
199573,,566
199773,,566
199974,,566
200174,,566
200375,,566
200575,,566
200776,,566
200977,,566
201177,,566
201378,,566
201578,,566
201779,,566
201980,,566
202180,,566
202381,,566
202581,,566
202782,,566
202982,,566
203183,,566
203384,,566
203584,,566
203605,decode_end,566
203659,cleanup_end,566
203670,evict_start,566
203670,evict_end,566
203670,prefill_start,566
203785,,566
203985,,566
204186,,566
204387,,566
204587,,566
204788,,566
204989,,566
205189,,566
205235,prefill_end,566
205235,reload_start,566
205235,decode_start,566
205390,,566
205590,,566
205791,,566
205992,,566
206192,,566
206393,,566
206593,,566
206794,,566
206995,,566
207195,,566
207396,,566
207596,,566
207797,,566
207997,,566
208198,,566
208399,,566
208599,,566
208800,,566
209000,,566
209201,,566
209402,,566
209602,,566
209803,,566
209966,decode_end,566
210004,,566
210020,cleanup_end,566
210031,evict_start,566
210031,evict_end,566
210031,prefill_start,566
210204,,566
210405,,566
210606,,566
210806,,566
211007,,566
211207,,566
211408,,566
211589,prefill_end,566
211589,reload_start,566
211590,decode_start,566
211609,,566
211809,,566
212010,,566
212211,,566
212411,,566
212612,,566
212812,,566
213013,,566
213213,,566
213414,,566
213615,,566
213815,,566
214016,,566
214216,,566
214417,,566
214618,,566
214818,,566
215019,,566
215219,,566
215420,,566
215621,,566
215821,,566
216022,,566
216223,,566
216423,,566
216624,,566
216825,,566
217025,,566
217226,,566
217426,,566
217627,,566
217828,,566
218028,,566
218229,,566
218429,,566
218630,,566
218831,,566
219031,,566
219232,,566
219432,,566
219633,,566
219833,,566
220034,,566
220189,decode_end,566
220235,,566
220243,cleanup_end,566
220256,evict_start,566
220256,evict_end,566
220256,prefill_start,566
220435,,566
220636,,566
220836,,566
221037,,566
221238,,566
221438,,566
221639,,566
221839,,566
221846,prefill_end,566
221846,reload_start,566
221846,decode_start,566
222040,,566
222240,,566
222441,,566
222642,,566
222842,,566
223043,,566
223243,,566
223444,,566
223645,,566
223845,,566
224046,,566
224246,,566
224447,,566
224648,,566
224848,,566
225049,,566
225249,,566
225450,,566
225651,,566
225851,,566
226052,,566
226252,,566
226453,,566
226654,,566
226854,,566
227055,,566
227255,,566
227456,,566
227656,,566
227857,,566
228058,,566
228258,,566
228459,,566
228659,,566
228860,,566
229061,,566
229261,,566
229462,,566
229663,,566
229863,,566
230064,,566
230264,,566
230452,decode_end,566
230465,,566
230507,cleanup_end,566
230520,evict_start,566
230520,evict_end,566
230520,prefill_start,566
230665,,566
230866,,566
231067,,566
231267,,566
231468,,566
231668,,566
231869,,566
232070,,566
232129,prefill_end,566
232129,reload_start,566
232129,decode_start,566
232270,,566
232471,,566
232671,,566
232872,,566
233073,,566
233273,,566
233474,,566
233675,,566
233875,,566
234076,,566
234276,,566
234477,,566
234677,,566
234878,,566
235079,,566
235279,,566
235480,,566
235680,,566
235881,,566
236082,,566
236282,,566
236483,,566
236683,,566
236884,,566
237085,,566
237285,,566
237486,,566
237686,,566
237887,,566
238087,,566
238288,,566
238489,,566
238689,,566
238890,,566
239090,,566
239291,,566
239492,,566
239692,,566
239893,,566
240093,,566
240294,,566
240495,,566
240695,,566
240766,decode_end,566
240820,cleanup_end,566
240831,evict_start,566
240831,evict_end,566
240831,prefill_start,566
240896,,566
241096,,566
241297,,566
241498,,566
241698,,566
241899,,566
242099,,566
242300,,566
242390,prefill_end,566
242390,reload_start,566
242390,decode_start,566
242500,,566
242701,,566
242902,,566
243102,,566
243303,,566
243504,,566
243704,,566
243905,,566
244105,,566
244306,,566
244507,,566
244707,,566
244908,,566
245108,,566
245309,,566
245510,,566
245710,,566
245911,,566
246111,,566
246312,,566
246513,,566
246713,,566
246914,,566
247114,,566
247315,,566
247516,,566
247716,,566
247917,,566
248117,,566
248318,,566
248518,,566
248719,,566
248920,,566
249120,,566
249321,,566
249522,,566
249722,,566
249923,,566
250123,,566
250324,,566
250524,,566
250725,,566
250926,,566
251126,,566
251316,decode_end,566
251327,,566
251370,cleanup_end,566
251397,evict_start,566
251397,evict_end,566
251397,prefill_start,566
251527,,566
251728,,566
251929,,566
252129,,566
252330,,566
252531,,566
252731,,566
252932,,566
253042,prefill_end,566
253042,reload_start,566
253042,decode_start,566
253132,,566
253333,,566
253534,,566
253734,,566
253935,,566
254136,,566
254336,,566
254537,,566
254737,,566
254938,,566
255138,,566
255339,,566
255539,,566
255740,,566
255941,,566
256141,,566
256342,,566
256542,,566
256743,,566
256944,,566
257136,decode_end,566
257144,,566
257190,cleanup_end,566
257220,evict_start,566
257220,evict_end,566
257220,prefill_start,566
257345,,566
257545,,566
257746,,566
257947,,566
258147,,566
258348,,566
258549,,566
258749,,566
258950,,566
259150,,566
259351,,566
259552,,566
259752,,566
259953,,566
260153,,566
260354,,566
260554,,566
260696,prefill_end,566
260696,reload_start,566
260696,decode_start,566
260755,,566
260956,,566
261156,,566
261357,,566
261557,,566
261758,,566
261959,,566
262159,,566
262360,,566
262560,,566
262761,,566
262961,,566
263162,,566
263363,,566
263563,,566
263764,,566
263964,,566
264165,,566
264366,,566
264567,,566
264767,,566
264938,decode_end,566
264968,,566
264992,cleanup_end,566
265045,evict_start,566
265045,evict_end,566
265045,prefill_start,566
265168,,566
265369,,566
265569,,566
265770,,566
265971,,566
266171,,566
266372,,566
266573,,566
266773,,566
266974,,566
267174,,566
267375,,566
267576,,566
267776,,566
267977,,566
268178,,566
268378,,566
268579,,566
268779,,566
268980,,566
269181,,566
269381,,566
269582,,566
269782,,566
269983,,566
270184,,566
270384,,566
270585,,566
270785,,566
270986,,566
271186,,566
271387,,566
271588,,566
271788,,566
271989,,566
272189,,566
272390,,566
272591,,566
272791,,566
272992,,566
273192,,566
273393,,566
273594,,566
273794,,566
273995,,566
274195,,566
274396,,566
274597,,566
274797,,566
274998,,566
275198,,566
275399,,566
275599,,566
275800,,566
275967,prefill_end,566
275967,reload_start,566
275967,decode_start,566
276001,,566
276201,,566
276402,,566
276602,,566
276803,,566
277004,,566
277204,,566
277405,,566
277605,,566
277806,,566
278007,,566
278207,,566
278408,,566
278609,,566
278809,,566
279010,,566
279210,,566
279301,decode_end,566
279355,cleanup_end,566
279390,server_shutdown,566
